Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 1	Peptides 2	Peptides 3	Peptides 7	Peptides 8	Peptides 9	Razor + unique peptides 1	Razor + unique peptides 2	Razor + unique peptides 3	Razor + unique peptides 7	Razor + unique peptides 8	Razor + unique peptides 9	Unique peptides 1	Unique peptides 2	Unique peptides 3	Unique peptides 7	Unique peptides 8	Unique peptides 9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 1	Identification type 2	Identification type 3	Identification type 7	Identification type 8	Identification type 9	Sequence coverage 1 [%]	Sequence coverage 2 [%]	Sequence coverage 3 [%]	Sequence coverage 7 [%]	Sequence coverage 8 [%]	Sequence coverage 9 [%]	Intensity	Intensity 1	Intensity 2	Intensity 3	Intensity 7	Intensity 8	Intensity 9	iBAQ	iBAQ 1	iBAQ 2	iBAQ 3	iBAQ 7	iBAQ 8	iBAQ 9	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Cre03.g201900.t1.1	Cre03.g201900.t1.1	3	3	3	>Cre03.g201900.t1.1 Radial spoke protein 1 ALS=RSP1 DBV=JGI5.5 GN=RSP1 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	3	3	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	2	2	3	5.9	5.9	5.9	87.785	814	814	0	4.567	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	4.7	4.1	3.1	4.1	4.7	5.9	38057	7526.1	5862.1	8244.5	3265.4	5287	7872.1	792.86	156.79	122.13	171.76	68.03	110.15	164	9				335	624;1613;2730	True;True;True	658;1727;2915	3252;3253;3254;3255;8822;8823;8824;8825;14688;14689;14690;14691;14692	3445;3446;3447;3448;3449;3450;3451;9828;16382	3449;9828;16382		
Cre03.g202113.t1.1	Cre03.g202113.t1.1	2	2	2	>Cre03.g202113.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	2	2	2	0	1	0	1	1	2	0	1	0	1	1	2	0	1	0	1	1	2	6.2	6.2	6.2	41.028	372	372	0	4.7073	By matching	By matching	By matching	By matching	By matching	By MS/MS	0	3	0	3	3	6.2	21860	0	2713.9	0	5658.8	5071.8	8415.8	993.65	0	123.36	0	257.22	230.54	382.54	1				336	3291;4107	True;True	3516;4382	17708;22382;22383;22384;22385	19837;24924	19837;24924		
Cre03.g202950.t1.1	Cre03.g202950.t1.1	8	8	8	>Cre03.g202950.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	8	8	8	4	4	4	6	8	7	4	4	4	6	8	7	4	4	4	6	8	7	19.3	19.3	19.3	39.84	357	357	0	45.752	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.9	10.9	10.9	14.6	19.3	17.4	309910	46662	44619	45147	40917	67444	65124	14087	2121	2028.1	2052.2	1859.9	3065.6	2960.2	26				337	1310;1319;2822;3939;4053;4235;5334;5893	True;True;True;True;True;True;True;True	1397;1408;3011;4204;4325;4513;5732;6315	7070;7071;7115;15151;15152;15153;15154;15155;15156;21357;21358;21359;21360;21361;21362;21363;21364;21365;21366;21367;21368;22102;22103;22104;23041;23042;23043;23044;23045;23046;29004;29005;29006;31953;31954;31955;31956;31957;31958	7825;7826;7870;16923;16924;23847;23848;23849;23850;23851;23852;23853;23854;24612;25652;25653;25654;25655;25656;25657;25658;25659;25660;25661;32203;32204;32205;35032;35033;35034	7826;7870;16923;23851;24612;25660;32203;35034		
Cre03.g203450.t1.2	Cre03.g203450.t1.2	2	2	2	>Cre03.g203450.t1.2 Ribosomal protein S21, component of cytosolic 80S ribosome and 40S small subunit ALS=RPS21 DBV=JGI5.5 GN=RPS21 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	35.4	35.4	35.4	9.1042	82	82	0	50.992	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	35.4	35.4	35.4	35.4	35.4	35.4	758370	147440	111460	120850	107780	117390	153450	189590	36860	27865	30212	26946	29348	38362	42				338	699;4990	True;True	738;739;740;5330;5331	3642;3643;3644;3645;3646;3647;3648;3649;3650;3651;3652;3653;3654;3655;3656;3657;3658;3659;26970;26971;26972;26973;26974;26975;26976;26977;26978;26979;26980;26981	3907;3908;3909;3910;3911;3912;3913;3914;3915;3916;3917;3918;3919;3920;3921;3922;3923;3924;3925;3926;3927;3928;3929;3930;3931;3932;3933;30040;30041;30042;30043;30044;30045;30046;30047;30048;30049;30050;30051;30052;30053;30054;30055	3927;30041	188;189;190	1;61;71
Cre03.g203850.t1.2	Cre03.g203850.t1.2	8	8	8	>Cre03.g203850.t1.2 ATP-sulfurylase ALS=ATS1 DBV=JGI5.5 GN=ATS1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	8	8	8	4	6	7	7	7	5	4	6	7	7	7	5	4	6	7	7	7	5	23.8	23.8	23.8	49.951	462	462	0	31.868	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.6	19.7	21.2	22.3	22.3	15.2	617110	111630	104920	102740	121180	100180	76458	17632	3189.3	2997.9	2935.3	3462.4	2862.3	2184.5	37				339	338;353;419;2980;5076;6109;6245;7914	True;True;True;True;True;True;True;True	356;371;372;440;3180;5454;6544;6688;8461	1736;1737;1738;1739;1740;1741;1794;1795;1796;1797;1798;1799;1800;1801;1802;2139;2140;2141;16043;27582;27583;27584;27585;33092;33093;33094;33095;33096;33097;33840;33841;33842;33843;33844;33845;42816;42817;42818;42819	1733;1734;1735;1736;1737;1817;1818;1819;1820;1821;1822;1823;1824;2234;2235;2236;2237;2238;17925;30662;30663;30664;36289;37129;37130;37131;37132;37133;37134;37135;37136;37137;47070;47071;47072;47073;47074	1734;1822;2238;17925;30664;36289;37131;47072	191	145
Cre03.g204250.t1.2	Cre03.g204250.t1.2	19	19	19	>Cre03.g204250.t1.2 S-Adenosyl homocysteine hydrolase ALS=SAH1 DBV=JGI5.5 GN=SAH1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	19	19	19	17	18	16	18	18	19	17	18	16	18	18	19	17	18	16	18	18	19	38.3	38.3	38.3	52.718	483	483	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	34.8	36.4	33.5	36.2	36.2	38.3	17899000	2558000	3140900	3008800	2658900	3071800	3460600	778220	111220	136560	130820	115600	133560	150460	262				340	670;914;1305;1328;1344;1522;3380;3824;3998;4645;4646;4888;5588;5713;5814;6251;6725;7185;7562	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	705;978;979;1392;1418;1435;1436;1437;1630;3610;3611;4086;4265;4266;4947;4948;5204;5205;5994;6125;6235;6695;7197;7681;7682;8086	3466;3467;3468;3469;4850;4851;4852;4853;4854;4855;4856;4857;4858;4859;4860;4861;7041;7042;7043;7044;7045;7046;7047;7048;7049;7050;7149;7150;7151;7264;7265;7266;7267;7268;7269;7270;7271;7272;7273;7274;7275;7276;7277;7278;7279;7280;7281;7282;8275;8276;8277;8278;8279;8280;18201;18202;18203;18204;18205;18206;18207;18208;18209;20671;20672;20673;20674;20675;20676;21742;21743;21744;21745;21746;21747;21748;21749;21750;21751;21752;21753;21754;21755;21756;21757;21758;21759;21760;21761;21762;21763;25160;25161;25162;25163;25164;25165;25166;25167;25168;25169;25170;25171;25172;25173;25174;25175;25176;25177;26398;26399;26400;26401;26402;26403;26404;26405;26406;26407;30287;30288;30289;30290;30291;30292;30992;30993;30994;30995;30996;30997;31558;31559;31560;31561;31562;31563;33869;33870;33871;33872;33873;33874;33875;33876;33877;33878;36431;36432;36433;36434;36435;38907;38908;38909;38910;38911;38912;38913;38914;38915;38916;38917;38918;40976;40977;40978;40979;40980	3695;3696;3697;3698;3699;5184;5185;5186;5187;5188;5189;5190;5191;5192;5193;5194;5195;5196;5197;5198;5199;5200;5201;5202;5203;5204;5205;5206;7782;7783;7784;7785;7786;7787;7788;7789;7790;7791;7792;7793;7794;7795;7796;7797;7798;7799;7800;7801;7898;7899;7900;7901;7902;8033;8034;8035;8036;8037;8038;8039;8040;8041;8042;8043;8044;8045;8046;8047;8048;8049;8050;8051;8052;8053;8054;9174;9175;9176;9177;9178;9179;9180;9181;9182;9183;9184;9185;9186;9187;20323;20324;20325;20326;20327;20328;20329;20330;20331;20332;20333;20334;20335;20336;20337;23173;23174;23175;23176;23177;23178;23179;23180;23181;23182;23183;23184;23185;23186;24226;24227;24228;24229;24230;24231;24232;24233;24234;24235;24236;24237;24238;24239;24240;24241;24242;24243;28001;28002;28003;28004;28005;28006;28007;28008;28009;28010;28011;28012;28013;28014;28015;28016;28017;28018;28019;28020;28021;29436;29437;29438;29439;29440;29441;29442;29443;29444;29445;29446;29447;29448;29449;29450;29451;29452;29453;33430;33431;33432;33433;33434;33435;33436;34067;34068;34069;34070;34071;34072;34073;34074;34075;34076;34077;34584;34585;34586;34587;34588;34589;34590;34591;34592;34593;34594;34595;34596;34597;34598;34599;34600;37157;37158;37159;37160;37161;37162;37163;37164;37165;37166;37167;37168;37169;37170;37171;37172;37173;37174;40089;40090;40091;40092;40093;40094;40095;40096;42861;42862;42863;42864;42865;42866;42867;42868;42869;42870;42871;42872;42873;42874;42875;42876;42877;42878;42879;42880;42881;42882;42883;42884;42885;42886;42887;42888;45173;45174;45175	3695;5202;7783;7902;8046;9183;20330;23183;24233;28007;28013;29440;33435;34074;34599;37157;40090;42880;45174	192;193;194;195;196;197	199;215;252;258;331;335
Cre03.g204601.t1.1	Cre03.g204601.t1.1	4	4	4	>Cre03.g204601.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	4	4	4	3	3	3	4	4	4	3	3	3	4	4	4	3	3	3	17.6	17.6	17.6	28.202	262	262	0	156.93	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	17.6	17.6	17.6	14.5	14.5	14.5	635730	120130	116200	111590	97497	95087	95223	42382	8008.9	7746.7	7439.6	6499.8	6339.2	6348.2	20				341	466;5070;6006;7818	True;True;True;True	491;5446;6432;8356	2397;2398;2399;2400;2401;2402;27544;27545;27546;27547;27548;27549;32535;32536;32537;32538;32539;32540;42294;42295;42296	2514;2515;2516;2517;2518;2519;30624;30625;30626;30627;30628;30629;35659;35660;35661;35662;35663;35664;35665;46564;46565;46566	2516;30627;35661;46565		
Cre03.g206450.t1.2	Cre03.g206450.t1.2	1	1	1	>Cre03.g206450.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	1	1	1	15.6	15.6	15.6	6.7576	64	64	0	7.9571	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	0	0	15.6	15.6	15.6	30247	0	0	0	0	14211	16036	7561.8	0	0	0	0	3552.9	4008.9	3				342	5226	True	5615	28381;28382;28383	31494;31495;31496	31494		
Cre03.g206600.t1.2	Cre03.g206600.t1.2	16	16	16	>Cre03.g206600.t1.2 Acetohydroxyacid dehydratase ALS=AAD1 DBV=JGI5.5 GN=AAD1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	16	16	16	14	13	13	12	10	11	14	13	13	12	10	11	14	13	13	12	10	11	34.8	34.8	34.8	64.232	604	604	0	163.23	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	31.6	29.8	29.8	24.5	18.9	19.9	1765400	313760	337200	287510	271340	256720	298870	55168	9804.9	10537	8984.7	8479.3	8022.5	9339.6	95				343	471;472;945;2568;2910;3201;3749;4935;5277;5482;5610;5794;6504;6976;7793;7899	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	497;498;1012;2742;3102;3103;3424;4005;5259;5669;5884;6016;6210;6211;6964;7457;8329;8330;8443;8444	2432;2433;2434;2435;2436;2437;2438;2439;2440;2441;2442;2443;5038;5039;13803;13804;13805;13806;13807;15607;15608;15609;17272;20227;20228;20229;20230;20231;20232;20233;26648;26649;26650;26651;26652;28638;28639;29782;29783;29784;29785;29786;29787;30401;30402;30403;31426;31427;31428;31429;31430;31431;31432;31433;31434;31435;31436;35217;35218;35219;35220;35221;35222;37724;37725;37726;37727;42166;42167;42168;42169;42170;42171;42172;42173;42174;42175;42176;42177;42714;42715;42716;42717;42718;42719;42720;42721;42722	2568;2569;2570;2571;2572;2573;2574;2575;2576;2577;2578;5446;5447;5448;15342;15343;17447;17448;19363;22624;22625;22626;22627;22628;22629;22630;22631;22632;22633;22634;22635;29711;29712;29713;31789;32977;32978;32979;32980;32981;32982;32983;32984;33550;33551;33552;34435;34436;34437;34438;34439;34440;34441;34442;34443;34444;34445;34446;34447;34448;34449;34450;38712;38713;38714;38715;38716;38717;38718;38719;41457;41458;41459;41460;41461;46415;46416;46417;46418;46419;46420;46421;46422;46423;46424;46425;46426;46427;46428;46429;46981;46982;46983;46984;46985	2568;2570;5446;15343;17447;19363;22630;29711;31789;32984;33551;34437;38717;41461;46415;46985	198;199;200;201;202;203;204	130;135;285;299;361;395;502
Cre03.g207700.t1.1	Cre03.g207700.t1.1	7	7	7	>Cre03.g207700.t1.1 Farnesyl pyrophosphate synthase ALS=PPS1 DBV=JGI5.5 GN=PPS1 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	7	7	7	1	2	1	4	7	6	1	2	1	4	7	6	1	2	1	4	7	6	19.7	19.7	19.7	40.491	360	360	0	17.557	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	3.1	6.1	3.6	11.1	19.7	17.5	153700	7440.1	36050	7160.7	13994	41925	47132	6986.4	338.19	1638.6	325.49	636.1	1905.7	2142.4	16				344	1667;1720;2306;3075;3569;4194;7864	True;True;True;True;True;True;True	1784;1840;2467;3288;3811;4471;8404	9106;9107;9374;9375;9376;12452;12453;12454;12455;16579;16580;16581;19228;19229;19230;22848;22849;22850;22851;42529;42530	10121;10122;10362;13746;13747;13748;18537;18538;18539;21521;21522;21523;25447;25448;46803;46804	10122;10362;13748;18538;21522;25448;46804		
Cre03.g207713.t1.1	Cre03.g207713.t1.1	1	1	1	>Cre03.g207713.t1.1 Isoamylase, starch debranching enzyme ALS=ISA3 DBV=JGI5.5 GN=ISA3 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	1.7	1.7	1.7	83.459	760	760	0	3.2785	By matching	By matching	By matching	By matching	By MS/MS	By matching	0	0	0	0	1.7	0	7540	0	0	0	0	7540	0	228.49	0	0	0	0	228.49	0	1				345	4334	True	4619	23523	26231	26231		
Cre03.g208000.t1.1	Cre03.g208000.t1.1	2	2	2	>Cre03.g208000.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	1	1	1	2	2	2	17.1	17.1	17.1	12.764	123	123	0	17.637	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.8	9.8	9.8	17.1	17.1	17.1	79844	14374	13877	11256	9273	8734.8	22329	13307	2395.7	2312.9	1876	1545.5	1455.8	3721.4	9				346	5153;6125	True;True	5541;6560	28001;28002;28003;33153;33154;33155;33156;33157;33158	31055;31056;31057;36347;36348;36349;36350;36351;36352	31056;36351		
Cre03.g213313.t1.1	Cre03.g213313.t1.1	2	2	2	>Cre03.g213313.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	2	2	2	0	1	1	1	2	1	0	1	1	1	2	1	0	1	1	1	2	1	8.1	8.1	8.1	32.542	321	321	0	10.469	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	5	5	5	8.1	5	48996	0	10756	9761.5	9234.8	8860.9	10383	2882.1	0	632.71	574.2	543.23	521.23	610.77	4				347	971;4406	True;True	1040;4697	5190;5191;5192;5193;5194;23954	5615;5616;5617;26708	5615;26708		
Cre03.g213537.t1.1	Cre03.g213537.t1.1	3	3	3	>Cre03.g213537.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	28.2	28.2	28.2	17.193	163	163	0	15.8	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.2	16.6	28.2	28.2	28.2	28.2	285120	48833	31084	50305	50718	51247	52938	40732	6976.1	4440.6	7186.5	7245.4	7321	7562.5	13				348	1198;4346;7281	True;True;True	1281;4631;7788	6472;6473;6474;6475;6476;6477;23595;23596;23597;23598;23599;23600;39455;39456;39457;39458;39459	7186;7187;7188;7189;7190;7191;26294;26295;43512;43513;43514;43515;43516	7190;26294;43512		
Cre04.g211800.t1.2	Cre04.g211800.t1.2	2	2	2	>Cre04.g211800.t1.2 Ribosomal protein L23, component of cytosolic 80S ribosome and 60S large subunit ALS=RPL23 DBV=JGI5.5 GN=RPL23 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	12.1	12.1	12.1	14.933	140	140	0	3.1761	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.7	12.1	12.1	12.1	12.1	12.1	494600	85431	81574	94396	65572	69533	98091	54955	9492.3	9063.8	10488	7285.8	7725.9	10899	12				349	3442;7408	True;True	3677;7922	18548;18549;18550;18551;18552;40139;40140;40141;40142;40143;40144	20718;20719;20720;20721;20722;20723;44283;44284;44285;44286;44287;44288	20719;44284		
Cre04.g213100.t1.1	Cre04.g213100.t1.1	1	1	1	>Cre04.g213100.t1.1 Esterase-like protein ALS=CGLD7 DBV=JGI5.5 GN=CGLD7 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	3.6	3.6	3.6	35.044	334	334	0.0064795	2.0177	By matching	By matching	By matching	By matching	By matching	By MS/MS	0	0	0	0	0	3.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				350	7451	True	7966	40365	44528	44528		
Cre04.g213251.t1.1	Cre04.g213251.t1.1	3	3	3	>Cre04.g213251.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	3	3	3	1	2	2	3	2	3	1	2	2	3	2	3	1	2	2	3	2	13.2	13.2	13.2	23.979	219	219	0	7.6954	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	13.2	4.1	9.6	7.8	13.2	7.8	143890	34772	11821	21471	27567	22917	25341	9592.6	2318.1	788.09	1431.4	1837.8	1527.8	1689.4	5				351	3953;4847;5412	True;True;True	4218;5162;5812	21461;21462;21463;26176;26177;26178;26179;26180;26181;29394;29395;29396;29397	23955;29165;32596;32597;32598	23955;29165;32596		
Cre04.g214150.t1.1	Cre04.g214150.t1.1	4	4	4	>Cre04.g214150.t1.1 Thiazole biosynthetic enzyme; THI4 regulatory protein ALS=THI4 DBV=JGI5.5 GN=THI4 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	1	3	3	3	2	3	1	3	3	3	2	3	1	3	3	3	2	3	21.6	21.6	21.6	36.892	357	357	0	20.041	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.1	17.1	17.1	18.5	12.6	13.4	111570	10838	21517	16109	20749	17553	24806	6973.1	677.38	1344.8	1006.8	1296.8	1097.1	1550.4	11				352	114;662;2317;4322	True;True;True;True	118;697;2480;4607	557;558;559;560;3431;3432;3433;12508;12509;12510;12511;23468;23469;23470;23471	549;550;551;3664;3665;3666;13831;13832;13833;26174;26175	549;3666;13831;26175		
Cre04.g214500.t1.1	Cre04.g214500.t1.1	12	12	12	>Cre04.g214500.t1.1 Isocitrate dehydrogenase, NADP-dependent ALS=IDH3 DBV=JGI5.5 GN=IDH3 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	12	12	12	11	11	10	11	11	11	11	11	10	11	11	11	11	11	10	11	11	11	31.4	31.4	31.4	49.284	443	443	0	78.394	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.2	28.2	25.1	29.3	28.9	28.2	3209900	605820	591530	607850	603950	552470	248310	107000	20194	19718	20262	20132	18416	8276.9	83				353	912;2544;3296;3847;4207;4370;4392;5209;6648;7060;7380;7409	True;True;True;True;True;True;True;True;True;True;True;True	976;2717;3521;4109;4484;4657;4658;4683;5598;7112;7546;7893;7923;7924	4844;4845;4846;4847;4848;13695;13696;17723;17724;17725;17726;17727;17728;20796;20797;20798;20799;20800;20801;22911;22912;22913;22914;22915;23746;23747;23748;23749;23750;23751;23752;23753;23754;23878;23879;23880;23881;23882;28287;28288;28289;28290;28291;28292;35971;35972;35973;35974;35975;35976;35977;35978;35979;35980;38211;38212;38213;38214;38215;38216;39981;39982;39983;39984;39985;39986;39987;39988;39989;39990;39991;40145;40146;40147;40148;40149;40150;40151	5181;5182;15239;19846;19847;19848;19849;19850;19851;19852;19853;19854;23305;23306;23307;23308;23309;23310;23311;23312;23313;23314;23315;23316;25510;25511;25512;25513;25514;26450;26451;26452;26453;26454;26455;26456;26457;26458;26598;26599;26600;26601;26602;26603;31387;31388;31389;39546;39547;39548;39549;39550;39551;39552;39553;39554;42042;42043;42044;42045;42046;42047;42048;42049;42050;44117;44118;44119;44120;44121;44122;44123;44124;44289;44290;44291;44292;44293;44294;44295;44296;44297;44298	5181;15239;19846;23308;25510;26454;26601;31389;39546;42049;44120;44289	205;206	284;428
Cre04.g214501.t1.1	Cre04.g214501.t1.1	3	3	3	>Cre04.g214501.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	3	3	3	0	1	0	2	2	2	0	1	0	2	2	2	0	1	0	2	2	2	3.4	3.4	3.4	81.454	788	788	0	3.7412	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	0	1	0	2.3	2.3	2.4	46863	0	7182	0	15907	16828	6946.8	1115.8	0	171	0	378.74	400.66	165.4	5				354	1132;2033;4154	True;True;True	1210;2167;4429	6112;6113;6114;10988;10989;10990;10991;10992;22616	6766;12196;12197;12198;25170	6766;12198;25170		
Cre04.g214502.t1.1	Cre04.g214502.t1.1	4	4	4	>Cre04.g214502.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	4	4	4	2	2	2	3	3	3	2	2	2	3	3	3	2	2	2	3	3	3	11.7	11.7	11.7	38.917	349	349	0	11.572	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.9	4.9	4.9	9.2	9.2	9.2	156400	10214	19258	19809	33308	37634	36178	7820.1	510.68	962.89	990.47	1665.4	1881.7	1808.9	16				355	2248;3178;4255;6934	True;True;True;True	2404;3396;4533;7413	12137;12138;12139;17141;17142;17143;23145;23146;23147;23148;23149;23150;37487;37488;37489;37490	13396;13397;13398;13399;13400;19237;19238;19239;25785;25786;25787;25788;25789;41215;41216;41217	13399;19237;25785;41215		
Cre04.g214503.t2.1;Cre04.g214503.t1.1	Cre04.g214503.t2.1;Cre04.g214503.t1.1	1;1	1;1	1;1	>Cre04.g214503.t2.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre;>Cre04.g214503.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.7	5.7	5.7	15.07	140	140;140	0.0057929	2.0498	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.7	5.7	5.7	5.7	5.7	5.7	251000	22275	19257	22659	64226	59967	62618	35857	3182.1	2751.1	3237	9175.1	8566.7	8945.4	7				356	3471	True	3707	18717;18718;18719;18720;18721;18722	20938;20939;20940;20941;20942;20943;20944	20944		
Cre04.g215850.t1.2	Cre04.g215850.t1.2	3	3	3	>Cre04.g215850.t1.2 Importin alpha ALS=IPA1 DBV=JGI5.5 GN=IPA1 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	1	1	3	2	3	3	1	1	3	2	3	3	1	1	3	2	3	3	7.6	7.6	7.6	61.053	555	555	0	11.242	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	3.4	3.4	7.6	4.1	7.6	7.6	99030	9455	9571.2	10223	16166	26903	26713	3536.8	337.68	341.83	365.11	577.34	960.8	954.02	7				357	1707;2152;2652	True;True;True	1827;2298;2833	9319;9320;9321;9322;9323;11599;11600;11601;11602;14249;14250;14251;14252	10313;10314;12825;12826;12827;15909;15910	10314;12827;15909		
Cre04.g216100.t1.1	Cre04.g216100.t1.1	2	2	2	>Cre04.g216100.t1.1 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=1 TOU=Cre	1	2	2	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	2	1	11.1	11.1	11.1	25.423	225	225	0	4.6866	By matching	By matching	By matching	By MS/MS	By MS/MS	By matching	7.1	7.1	4	7.1	11.1	4	41580	5149.7	1795	6995.4	5755	13251	8634.4	2772	343.32	119.67	466.36	383.67	883.38	575.63	4				358	1354;1479	True;True	1448;1586	7329;7330;7331;8049;8050;8051;8052	8115;8888;8889;8890	8115;8890		
Cre04.g216600.t1.2	Cre04.g216600.t1.2	3	3	3	>Cre04.g216600.t1.2 26S proteasome regulatory subunit ALS=RPT6 DBV=JGI5.5 GN=RPT6 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	9.8	9.8	9.8	44.102	396	396	0	4.869	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	3	7.6	3	4.5	4.5	6.8	210120	60588	70587	66075	4353	4373.3	4145	8081.6	2330.3	2714.9	2541.4	167.42	168.2	159.42	5				359	1361;1843;7334	True;True;True	1456;1968;7845	7369;7370;7371;10004;10005;10006;10007;39736	8160;11023;11024;11025;43832	8160;11024;43832		
Cre04.g216950.t1.2	Cre04.g216950.t1.2	3	3	3	>Cre04.g216950.t1.2 None DBV=JGI5.5 OS=Chlamydomonas reinhardtii SV=2 TOU=Cre	1	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	16.3	16.3	16.3	38.909	374	374	0	7.4029	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.6	9.6	9.6	9.6	13.1	13.1	109230	17906	17847	17816	18148	20140	17376	4749.3	778.52	775.96	774.61	789.03	875.67	755.47	8				360	84;4793;7501	True;True;True	88;5106;8022	415;416;417;418;419;420;25919;25920;25921;25922;40664;40665	419;420;421;422;423;424;28893;44832;44833	422;28893;44833		
